solver,person,dev_true,dev_disturb,gap_true,gap_disturb
dp_full,p396950,0.0,116.04776867967848,0.0,0.0
dp_full,p397357,0.0,951.8653688178756,0.0,0.0
dp_full,p410290,0.0,715.8278552902229,0.0,0.0
dp_full,p418318,0.0,2641.5218785643497,0.0,0.0
dp_full,p419724,0.0,33.55822219632114,0.0,0.0
dp_full,p423441,0.0,2365.063535021398,0.0,0.0
dp_full,p63425,0.0,113.09732321457705,0.0,0.0
dp_full,p7637,0.0,300.252569401574,0.0,0.0
dp_full,p85062,0.0,284.5585857020383,0.0,0.0
dp_full,p97880,0.0,268.80943387084164,0.0,0.0
carla,p109343,0.0,252.44041797839145,0.0,0.0
carla,p110348,0.0,561.8080017913412,0.0,0.0
carla,p11887,0.0,139.59183018699923,0.0,0.0
carla,p122987,0.0,1387.9874053628282,0.0,0.0
carla,p125872,0.0,49.90088586141883,0.0,0.0
carla,p133262,0.0,151.36152032315886,0.0,0.0
carla,p134964,0.0,46.55095794755016,0.0,0.0
carla,p154376,0.0,83.39994086375646,0.0,0.0
carla,p154588,0.0,28.99111742413152,0.0,0.0
carla,p159425,0.0,100.91806399904635,0.0,0.0
carla,p166922,0.0,491.512881805495,0.0,0.0
carla,p167155,0.0,56.2551301046733,0.0,0.0
carla,p178403,0.0,90.18698310461788,0.0,0.0
carla,p181274,0.0,64.44563630647554,0.0,0.0
carla,p18365,0.0,35.69127428509398,0.0,0.0
carla,p192929,0.0,181.6273676930564,0.0,0.0
carla,p194150,0.0,429.2261313699278,0.0,0.0
carla,p203178,0.0,159.57973678793246,0.0,0.0
carla,p20692,0.0,218.5819545905329,0.0,0.0
carla,p20715,0.0,274.4924723451463,0.0,0.0
carla,p217809,0.0,918.9150656587522,0.0,0.0
carla,p218601,0.0,108.09743733521373,0.0,0.0
carla,p235649,0.0,73.30912195497194,0.0,0.0
carla,p246675,0.0,47.74323090550388,0.0,0.0
carla,p247238,0.0,285.1324178996301,0.0,0.0
carla,p248931,0.0,49.447255044315625,0.0,24.0237880916452
carla,p249927,0.0,164.6708156261907,0.0,0.0
carla,p259105,0.0,1539.871513319442,0.0,0.0
carla,p266483,0.0,78.0940678879274,0.0,0.0
carla,p271439,0.0,51.15305308443499,0.0,0.0
carla,p272058,0.0,38.111571474069024,0.0,0.0
carla,p272252,0.0,282.582453348336,0.0,0.0
carla,p272946,0.0,95.167807310302,0.0,0.0
carla,p284703,0.0,267.1567266658803,0.0,0.0
carla,p284890,0.0,147.62320659389843,0.0,0.0
carla,p288005,0.0,26.503981401365763,0.0,0.0
carla,p290602,0.0,63.62049129806377,0.0,0.0
carla,p303896,0.0,165.55469925933596,0.0,0.0
carla,p313123,0.0,43.77158314283997,0.0,0.0
carla,p317567,0.0,542.3178590027845,0.0,0.0
carla,p319639,0.0,129.45234100812922,0.0,0.0
carla,p325825,0.0,63.72612115906827,0.0,0.0
carla,p330259,0.0,45.89635940314383,0.0,0.0
carla,p332005,0.0,325.2691271417607,0.0,0.0
carla,p343087,0.0,32.77584193900657,0.0,0.0
carla,p347061,0.0,99.66883071412462,0.0,0.0
carla,p350615,0.0,13.465844517690698,0.0,0.0
carla,p35350,0.0,295.1834208818675,0.0,0.0
carla,p353866,0.0,146.40594749982677,0.0,0.0
carla,p369848,0.0,165.45971626311962,0.0,0.0
carla,p377239,0.0,19.838812128181644,0.0,0.0
